time,alb_NUK_L,lat_NUK_L,lon_NUK_L,cloud_NUK_L
2017-05-01,0.6457,64.482467,-49.53695,0.1451
2017-05-02,0.8553,64.482468,-49.536959,0.8144
2017-05-03,0.6887,64.48247,-49.536966,0.5122
2017-05-04,0.7433,64.48247,-49.536978,0.7432
2017-05-05,0.6743,64.482471,-49.536982,0.3767
2017-05-06,0.5903,64.482472,-49.53698,0.1157
2017-05-07,0.6102,64.48247,-49.536991,0.1342
2017-05-08,0.7074,64.482473,-49.537001,0.6072
2017-05-09,0.6034,64.482473,-49.53701,0.8681
2017-05-10,0.5821,64.482472,-49.53702,0.2711
2017-05-11,0.5903,64.482473,-49.537025,0.8222
2017-05-12,0.5405,64.482475,-49.537034,0.528
2017-05-13,0.6583,64.482476,-49.537044,0.6702
2017-05-14,0.5499,64.482477,-49.537048,0.0078
2017-05-15,0.5259,64.482478,-49.537063,0.0418
2017-05-16,0.5075,64.482482,-49.537068,0.0786
2017-05-17,0.529,64.482482,-49.537075,0.5624
2017-05-18,0.5966,64.482482,-49.537085,0.9374
2017-05-19,0.5017,64.482486,-49.537093,0.7863
2017-05-20,0.4749,64.482486,-49.537106,0.8805
2017-05-21,0.4699,64.482484,-49.537118,0.9836
2017-05-22,0.4589,64.482486,-49.537132,0.8182
2017-05-23,0.4981,64.482484,-49.537135,0.7658
2017-05-24,0.5464,64.482487,-49.537151,0.9412
2017-05-25,0.4881,64.482488,-49.53716,0.9214
2017-05-26,0.4719,64.482492,-49.537174,0.5028
2017-05-27,0.4592,64.482492,-49.537182,0.136
2017-05-28,0.4448,64.4825,-49.537195,0.2804
2017-05-29,0.4839,64.482495,-49.537208,0.9298
2017-05-30,0.6154,64.482495,-49.537213,0.8301
2017-05-31,0.4427,64.482498,-49.537219,0.0589
2017-06-01,0.4129,64.482499,-49.537222,0.0272
2017-06-02,0.3831,64.482503,-49.537229,0.0144
2017-06-03,0.3831,64.482503,-49.537231,0.0492
2017-06-04,0.3878,64.482503,-49.537244,0.338
2017-06-05,0.4122,64.482505,-49.537251,0.8944
2017-06-06,0.3738,64.482506,-49.537262,0.5015
2017-06-07,0.3721,64.482504,-49.537268,0.5215
2017-06-08,0.3676,64.482506,-49.537276,0.6137
2017-06-09,0.3454,64.482508,-49.537283,0.5726
2017-06-10,0.3391,64.482505,-49.53729,0.3491
2017-06-11,0.3029,64.482507,-49.537291,0.5967
2017-06-12,0.3149,64.482507,-49.537304,0.0283
2017-06-13,0.3058,64.482509,-49.537315,0.0173
2017-06-14,0.3008,64.482514,-49.537319,0.0322
2017-06-15,0.2875,64.482514,-49.537326,0.032
2017-06-16,0.2945,64.482514,-49.537332,0.2014
2017-06-17,0.3449,64.482513,-49.537346,0.9071
2017-06-18,0.3113,64.482511,-49.537356,0.505
2017-06-19,0.3409,64.482512,-49.537359,0.9775
2017-06-20,0.5808,64.482512,-49.537366,0.755
2017-06-21,0.3247,64.482517,-49.53737,0.1368
2017-06-22,0.3166,64.482515,-49.537379,0.3305
2017-06-23,0.2926,64.482516,-49.537384,0.1042
2017-06-24,0.272,64.482517,-49.537392,0.0585
2017-06-25,0.2552,64.482519,-49.537394,0.0826
2017-06-26,0.2556,64.482515,-49.537405,0.6654
2017-06-27,0.2975,64.48252,-49.537413,0.792
2017-06-28,0.295,64.482518,-49.537421,0.9752
2017-06-29,0.271,64.48252,-49.537428,0.4127
2017-06-30,0.2924,64.482521,-49.537434,0.3197
2017-07-01,0.321,64.482523,-49.537444,0.6605
2017-07-02,0.3315,64.482522,-49.537451,0.8873
2017-07-03,0.428,64.482522,-49.53746,0.5147
2017-07-04,0.5247,64.482518,-49.537458,0.9444
2017-07-05,0.7456,64.482519,-49.537458,0.441
2017-07-06,0.6349,64.482519,-49.537469,0.002
2017-07-07,0.4029,64.482518,-49.537476,0.1274
2017-07-08,0.2513,64.482519,-49.537485,0.7057
2017-07-09,0.2997,64.482521,-49.537495,0.1039
2017-07-10,0.2713,64.482521,-49.5375,0.0822
2017-07-11,0.2957,64.482522,-49.537507,0.0438
2017-07-12,0.286,64.482522,-49.537513,0.0742
2017-07-13,0.2619,64.482522,-49.537519,0.4954
2017-07-14,0.303,64.48252,-49.537526,0.9475
2017-07-15,0.3366,64.482522,-49.53753,0.7609
2017-07-16,0.6123,64.482523,-49.537538,0.9242
2017-07-17,0.5828,64.482523,-49.537542,0.1893
2017-07-18,0.387,64.482525,-49.53755,0.5837
2017-07-19,0.2048,64.482526,-49.537559,0.8923
2017-07-20,0.2893,64.482528,-49.537567,0.3763
2017-07-21,0.342,64.482528,-49.53758,0.026
2017-07-22,0.318,64.482528,-49.53759,0.0543
2017-07-23,0.3098,64.482526,-49.537595,0.399
2017-07-24,0.2748,64.482527,-49.537604,0.5334
2017-07-25,0.2428,64.482529,-49.537605,0.2775
2017-07-26,0.3166,64.482531,-49.537613,0.3073
2017-07-27,0.2463,64.482532,-49.537624,0.1039
2017-07-28,0.2589,64.48253,-49.537628,0.0751
2017-07-29,0.2635,64.48253,-49.537634,0.1505
2017-07-30,0.2773,64.482532,-49.53764,0.0341
2017-07-31,0.2677,64.482532,-49.537649,0.0801
2017-08-01,0.2886,64.482533,-49.537654,0.0487
2017-08-02,0.2837,64.482534,-49.537662,0.1001
2017-08-03,0.2968,64.482532,-49.537671,0.1385
2017-08-04,0.2956,64.482534,-49.537677,0.2138
2017-08-05,0.3478,64.482533,-49.537682,0.2346
2017-08-06,0.3399,64.482535,-49.537689,0.2905
2017-08-07,0.353,64.482536,-49.537697,0.9707
2017-08-08,0.2718,64.482535,-49.537712,0.4695
2017-08-09,0.2375,64.48254,-49.537713,0.7151
2017-08-10,0.2272,64.48254,-49.537713,0.8269
2017-08-11,0.2566,64.48254,-49.537713,0.6502
2017-08-12,0.2749,64.48254,-49.537713,0.5532
2017-08-13,0.2841,64.48254,-49.537713,0.3605
2017-08-14,0.2928,64.48254,-49.537713,0.0038
2017-08-15,0.2705,64.48254,-49.537713,0.0292
2017-08-16,0.327,64.48254,-49.537713,0.2253
2017-08-17,0.3261,64.48254,-49.537713,0.8244
2017-08-18,0.2171,64.48254,-49.537713,0.8287
2017-08-19,0.222,64.48254,-49.537713,0.7941
2017-08-20,0.2134,64.48254,-49.537713,0.8399
2017-08-21,0.326,64.48254,-49.537713,0.9562
2017-08-22,0.2734,64.48254,-49.537713,0.9976
2017-08-23,0.2771,64.48254,-49.537713,0.6568
2017-08-24,0.3063,64.48254,-49.537713,0.2
2017-08-25,0.2818,64.48254,-49.537713,0.8486
2017-08-26,0.3017,64.48254,-49.537713,0.3192
2017-08-27,0.346,64.48254,-49.537713,0.092
2017-08-28,0.352,64.48254,-49.537713,0.2201
2017-08-29,0.2776,64.48254,-49.537713,0.911
2017-08-30,0.1939,64.48254,-49.537713,0.7689
2017-08-31,0.2033,64.48254,-49.537713,0.8458
2017-09-01,0.2185,64.48254,-49.537713,0.9673
2017-09-02,0.2646,64.48254,-49.537713,0.9091
2017-09-03,0.272,64.48254,-49.537713,0.3439
2017-09-04,0.3183,64.48254,-49.537713,0.0065
2017-09-05,0.3133,64.48254,-49.537713,0.0102
2017-09-06,0.2722,64.48254,-49.537713,0.4724
2017-09-07,0.2777,64.48254,-49.537713,0.5959
2017-09-08,0.3208,64.48254,-49.537713,0.1583
2017-09-09,0.3262,64.48254,-49.537713,0.2647
2017-09-10,0.2421,64.48254,-49.537713,0.7724
2017-09-11,0.7826,64.48254,-49.537713,0.9569
2017-09-12,0.6923,64.48254,-49.537713,0.2661
2017-09-13,0.6109,64.48254,-49.537713,0.5674
2017-09-14,0.3012,64.48254,-49.537713,0.8877
2017-09-15,0.2274,64.48254,-49.537713,0.7762
2017-09-16,0.2298,64.48254,-49.537713,0.875
2017-09-17,0.7624,64.48254,-49.537713,0.9437
2017-09-18,0.6411,64.48254,-49.537713,0.53
2017-09-19,0.585,64.48254,-49.537713,0.0151
2017-09-20,0.4618,64.48254,-49.537713,0.0047
2017-09-21,0.3944,64.48254,-49.537713,0.0266
2017-09-22,0.4217,64.48254,-49.537713,0.4421
2017-09-23,0.9141,64.48254,-49.537713,0.931
2017-09-24,0.8368,64.48254,-49.537713,0.8454
2017-09-25,0.8692,64.48254,-49.537713,0.479
2017-09-26,0.7895,64.48254,-49.537713,0.4813
2017-09-27,0.3985,64.48254,-49.537713,0.0014
2017-09-28,0.3671,64.48254,-49.537713,0.0007
2017-09-29,0.4132,64.48254,-49.537713,0.3416
2017-09-30,0.7033,64.48254,-49.537713,0.6361
2018-05-01,0.803,64.48254,-49.537713,0.8132
2018-05-02,0.8611,64.48254,-49.537713,0.7338
2018-05-03,0.6898,64.48254,-49.537713,0.345
2018-05-04,0.7127,64.48254,-49.537713,0.4687
2018-05-05,0.864,64.48254,-49.537713,0.8277
2018-05-06,0.7743,64.48254,-49.537713,0.6071
2018-05-07,0.6817,64.48254,-49.537713,0.2865
2018-05-08,0.6763,64.48254,-49.537713,0.0509
2018-05-09,0.6813,64.48254,-49.537713,0.0134
2018-05-10,0.7052,64.48254,-49.537713,0.3038
2018-05-11,0.798,64.48254,-49.537713,0.6927
2018-05-12,0.8014,64.48254,-49.537713,0.6159
2018-05-13,0.7608,64.48254,-49.537713,0.5645
2018-05-14,0.8264,64.48254,-49.537713,0.94
2018-05-15,0.7068,64.48254,-49.537713,0.1845
2018-05-16,0.802,64.48254,-49.537713,0.6427
2018-05-17,0.6365,64.48254,-49.537713,0.2887
2018-05-18,0.652,64.48254,-49.537713,0.2445
2018-05-19,0.6114,64.48254,-49.537713,0.0417
2018-05-20,0.7415,64.48254,-49.537713,0.58
2018-05-21,0.6299,64.48254,-49.537713,0.064
2018-05-22,0.6572,64.48254,-49.537713,0.2705
2018-05-23,0.8207,64.48254,-49.537713,0.9223
2018-05-24,0.7845,64.48254,-49.537713,0.8517
2018-05-25,0.6733,64.48254,-49.537713,0.2768
2018-05-26,0.8147,64.48254,-49.537713,0.7382
2018-05-27,0.7752,64.48254,-49.537713,0.6295
2018-05-28,0.7052,64.48254,-49.537713,0.1648
2018-05-29,0.7576,64.48254,-49.537713,0.4552
2018-05-30,0.7378,64.48254,-49.537713,0.8044
2018-05-31,0.8608,64.48254,-49.537713,0.7138
2018-06-01,0.7061,64.48254,-49.537713,0.8396
2018-06-02,0.6265,64.48254,-49.537713,0.9354
2018-06-03,0.6661,64.48254,-49.537713,0.9911
2018-06-04,0.6317,64.48254,-49.537713,0.9826
2018-06-05,0.5287,64.48254,-49.537713,0.6396
2018-06-06,0.4488,64.48254,-49.537713,0.7927
2018-06-07,0.4799,64.48254,-49.537713,0.7685
2018-06-08,0.5015,64.48254,-49.537713,0.903
2018-06-09,0.4961,64.48254,-49.537713,0.5505
2018-06-10,0.5029,64.48254,-49.537713,0.163
2018-06-11,0.4962,64.48254,-49.537713,0.3285
2018-06-12,0.4475,64.48254,-49.537713,0.1329
2018-06-13,0.4778,64.48254,-49.537713,0.265
2018-06-14,0.5919,64.48254,-49.537713,0.9249
2018-06-15,0.5025,64.48254,-49.537713,0.3194
2018-06-16,0.4861,64.48254,-49.537713,0.1627
2018-06-17,0.5043,64.48254,-49.537713,0.5959
2018-06-18,0.4732,64.48254,-49.537713,0.1211
2018-06-19,0.4514,64.48254,-49.537713,0.0639
2018-06-20,0.4817,64.48254,-49.537713,0.4265
2018-06-21,0.4418,64.48254,-49.537713,0.8532
2018-06-22,0.4418,64.48254,-49.537713,0.8076
2018-06-23,0.4588,64.48254,-49.537713,0.8805
2018-06-24,0.4852,64.48254,-49.537713,0.8434
2018-06-25,0.5654,64.48254,-49.537713,0.9481
2018-06-26,0.4527,64.48254,-49.537713,0.4402
2018-06-27,0.4322,64.48254,-49.537713,0.1178
2018-06-28,0.4457,64.48254,-49.537713,0.8353
2018-06-29,0.6154,64.48254,-49.537713,0.9009
2018-06-30,0.49,64.48254,-49.537713,0.7864
2018-07-01,0.4351,64.48254,-49.537713,0.9192
2018-07-02,0.6189,64.48254,-49.537713,0.7227
2018-07-03,0.4252,64.48254,-49.537713,0.3339
2018-07-04,0.419,64.48254,-49.537713,0.8547
2018-07-05,0.4307,64.48254,-49.537713,0.9671
2018-07-06,0.3991,64.48254,-49.537713,0.6446
2018-07-07,0.4234,64.48254,-49.537713,0.5437
2018-07-08,0.4381,64.48254,-49.537713,0.8913
2018-07-09,0.3988,64.48254,-49.537713,0.7343
2018-07-10,0.3691,64.48254,-49.537713,0.0486
2018-07-11,0.3819,64.48254,-49.537713,0.695
2018-07-12,0.3934,64.48254,-49.537713,0.9856
2018-07-13,0.3671,64.48254,-49.537713,0.5451
2018-07-14,0.3586,64.48254,-49.537713,0.2352
2018-07-15,0.3354,64.48254,-49.537713,0.4676
2018-07-16,0.341,64.48254,-49.537713,0.639
2018-07-17,0.3072,64.48254,-49.537713,0.9277
2018-07-18,0.3217,64.48254,-49.537713,0.4202
2018-07-19,0.3061,64.48254,-49.537713,0.7531
2018-07-20,0.3213,64.48254,-49.537713,0.7521
2018-07-21,0.3547,64.48254,-49.537713,0.9558
2018-07-22,0.347,64.48254,-49.537713,0.7338
2018-07-23,0.3751,64.48254,-49.537713,0.1239
2018-07-24,0.3971,64.48254,-49.537713,0.8726
2018-07-25,0.3981,64.48254,-49.537713,0.6499
2018-07-26,0.3664,64.48254,-49.537713,0.9173
2018-07-27,0.3755,64.48254,-49.537713,0.8349
2018-07-28,0.364,64.48254,-49.537713,0.8795
2018-07-29,0.3959,64.48254,-49.537713,0.2503
2018-07-30,0.3875,64.482637,-49.53875,0.1537
2018-07-31,0.365,64.48275,-49.540005,0.1281
2018-08-01,0.3735,64.48275,-49.540021,0.7346
2018-08-02,0.3937,64.482754,-49.540027,0.7036
2018-08-03,0.3655,64.482753,-49.540038,0.6765
2018-08-04,0.3667,64.482752,-49.540032,0.6783
2018-08-05,0.3529,64.482751,-49.540041,0.3527
2018-08-06,0.3529,64.482751,-49.540046,0.0814
2018-08-07,0.3391,64.482752,-49.540056,0.6588
2018-08-08,0.298,64.482755,-49.540063,0.8866
2018-08-09,0.3474,64.482753,-49.540074,0.6814
2018-08-10,0.3353,64.482756,-49.54008,0.1707
2018-08-11,0.3291,64.482757,-49.540083,0.2334
2018-08-12,0.3483,64.482758,-49.540093,0.3228
2018-08-13,0.3558,64.482761,-49.540092,0.5319
2018-08-14,0.3369,64.482761,-49.540108,0.7379
2018-08-15,0.3851,64.48276,-49.540118,0.971
2018-08-16,0.3698,64.482762,-49.540125,0.911
2018-08-17,0.3574,64.482761,-49.540123,0.6479
2018-08-18,0.3474,64.482763,-49.540133,0.3697
2018-08-19,0.3683,64.482762,-49.540136,0.6759
2018-08-20,0.3697,64.482764,-49.540146,0.2011
2018-08-21,0.3363,64.482761,-49.540154,0.67
2018-08-22,0.4014,64.482763,-49.540159,0.8601
2018-08-23,0.4592,64.482771,-49.540159,0.4278
2018-08-24,0.3896,64.482768,-49.540167,0.6043
2018-08-25,0.3477,64.482766,-49.540175,0.492
2018-08-26,0.3847,64.482771,-49.54018,0.1186
2018-08-27,0.4073,64.482774,-49.540191,0.0828
2018-08-28,0.4154,64.48277,-49.540198,0.2751
2018-08-29,0.4524,64.482771,-49.540203,0.7656
2018-08-30,0.7497,64.482775,-49.540208,0.9676
2018-08-31,0.8789,64.482773,-49.540212,0.9779
