date,site,alb_s3,alb_AWS,cloud
2017-05-31,SCO_U,nan,0.7043,0.3878
2017-05-31,TAS_A,nan,0.801,0.8727
2017-05-31,THU_L,nan,0.8641,0.8013
2017-05-31,THU_U,nan,0.8488,0.8669
2017-05-31,UPE_L,nan,0.7318,0.3919
2017-05-31,UPE_U,nan,0.759,0.0998
2017-06-01,EGP,0.813,0.8151,0.3921
2017-06-01,KAN_L,0.580,0.5798,0.1251
2017-06-01,KAN_M,0.816,0.757,0.0979
2017-06-01,KAN_U,0.810,0.7884,0.0984
2017-06-01,KPC_L,nan,0.7751,0.12
2017-06-01,KPC_U,0.813,0.8016,0.1704
2017-06-01,NUK_K,0.604,0.6365,0.1518
2017-06-01,NUK_L,nan,0.4129,0.0272
2017-06-01,QAS_L,nan,0.5605,0.2109
2017-06-01,QAS_M,nan,0.7228,0.3118
2017-06-01,QAS_U,nan,0.6546,0.1382
2017-06-01,SCO_L,nan,0.5508,0.8251
2017-06-01,SCO_U,nan,0.7619,0.8347
2017-06-01,TAS_A,nan,0.7442,0.2828
2017-06-01,THU_L,nan,0.8688,0.8371
2017-06-01,THU_U,nan,0.8559,0.816
2017-06-01,UPE_L,nan,0.6969,0.2581
2017-06-01,UPE_U,nan,0.7567,0.0919
2017-06-02,EGP,0.808,0.8101,0.2149
2017-06-02,KAN_L,0.616,0.5746,0.1006
2017-06-02,KAN_M,0.820,0.7565,0.1033
2017-06-02,KAN_U,0.810,0.7861,0.0929
2017-06-02,KPC_L,nan,0.7548,0.22
2017-06-02,KPC_U,0.814,0.812,0.2845
2017-06-02,NUK_K,nan,0.634,0.1157
2017-06-02,NUK_L,nan,0.3831,0.0144
2017-06-02,QAS_L,0.672,0.5669,0.5122
2017-06-02,QAS_M,0.782,0.7409,0.3814
2017-06-02,QAS_U,nan,0.6658,0.1393
2017-06-02,SCO_L,nan,0.5024,0.5492
2017-06-02,SCO_U,nan,0.7588,0.4127
2017-06-02,TAS_A,nan,0.7828,0.7773
2017-06-02,THU_L,nan,0.8172,0.275
2017-06-02,THU_U,nan,0.8085,0.1957
2017-06-02,UPE_L,nan,0.6781,0.3716
2017-06-02,UPE_U,0.799,0.7571,0.2347
2017-06-03,EGP,0.826,0.8099,0.2354
2017-06-03,KAN_L,0.609,0.5638,0.2768
2017-06-03,KAN_M,0.816,0.7429,0.2032
2017-06-03,KAN_U,0.806,0.7858,0.1105
2017-06-03,KPC_L,nan,0.7484,0.1325
2017-06-03,KPC_U,0.817,0.8065,0.1938
2017-06-03,NUK_K,nan,0.6384,0.1602
2017-06-03,NUK_L,nan,0.3831,0.0492
2017-06-03,QAS_L,nan,0.5553,0.4748
2017-06-03,QAS_M,0.759,0.7489,0.4011
2017-06-03,QAS_U,0.566,0.6646,0.1722
2017-06-03,SCO_L,nan,0.4789,0.268
2017-06-03,SCO_U,nan,0.6928,0.1332
2017-06-03,TAS_A,nan,0.7223,0.452
2017-06-03,THU_L,nan,0.7992,0.1935
2017-06-03,THU_U,nan,0.7962,0.143
2017-06-03,UPE_L,nan,0.7184,0.5253
2017-06-03,UPE_U,nan,0.7642,0.3176
2017-06-04,EGP,0.819,0.7388,0.3161
2017-06-04,KAN_L,nan,0.5704,0.4791
2017-06-04,KAN_M,nan,0.7384,0.5431
2017-06-04,KAN_U,nan,0.8743,0.83
2017-06-04,KPC_L,nan,0.7301,0.1487
2017-06-04,KPC_U,0.816,0.8016,0.2037
2017-06-04,NUK_K,nan,0.6726,0.4407
2017-06-04,NUK_L,nan,0.3878,0.338
2017-06-04,QAS_L,nan,0.5448,0.5586
2017-06-04,QAS_M,0.692,0.7306,0.4083
2017-06-04,QAS_U,0.699,0.6654,0.1707
2017-06-04,SCO_L,nan,0.4663,0.4341
2017-06-04,SCO_U,nan,0.6685,0.3279
2017-06-04,TAS_A,nan,0.767,0.5481
2017-06-04,THU_L,nan,0.8814,0.8107
2017-06-04,THU_U,nan,0.8903,0.8414
2017-06-04,UPE_L,nan,0.6584,0.5663
2017-06-04,UPE_U,nan,0.7339,0.1142
2017-06-05,EGP,0.813,0.7967,0.2322
2017-06-05,KAN_L,0.588,0.574,0.2372
2017-06-05,KAN_M,nan,0.708,0.1778
2017-06-05,KAN_U,0.815,0.7992,0.3013
2017-06-05,KPC_L,nan,0.713,0.111
2017-06-05,KPC_U,0.812,0.7951,0.1804
2017-06-05,NUK_K,nan,0.6594,0.6301
2017-06-05,NUK_L,nan,0.4122,0.8944
2017-06-05,QAS_L,nan,0.6066,0.7759
2017-06-05,QAS_M,nan,0.7898,0.4921
2017-06-05,QAS_U,nan,0.8767,0.7755
2017-06-05,SCO_L,nan,0.4485,0.3107
2017-06-05,SCO_U,nan,0.6549,0.2131
2017-06-05,TAS_A,nan,0.7567,0.6447
2017-06-05,THU_L,nan,0.8866,0.9463
2017-06-05,THU_U,nan,0.8626,0.9639
2017-06-05,UPE_L,nan,0.7121,0.6565
2017-06-05,UPE_U,0.778,0.763,0.3793
2017-06-06,EGP,0.807,0.793,0.2862
2017-06-06,KAN_L,nan,0.5843,0.5277
2017-06-06,KAN_M,nan,0.7303,0.4448
2017-06-06,KAN_U,0.825,0.798,0.2255
2017-06-06,KPC_L,nan,0.7071,0.1486
2017-06-06,KPC_U,0.811,0.7971,0.1421
2017-06-06,NUK_K,nan,0.6417,0.2684
2017-06-06,NUK_L,nan,0.3738,0.5015
2017-06-06,QAS_L,nan,0.5348,0.482
2017-06-06,QAS_U,nan,0.7045,0.5355
2017-06-06,SCO_L,nan,0.3978,0.4019
2017-06-06,SCO_U,nan,0.6317,0.3418
2017-06-06,TAS_A,nan,0.7019,0.244
2017-06-06,THU_L,nan,0.8861,0.9332
2017-06-06,THU_U,nan,0.8482,0.8657
2017-06-06,UPE_L,nan,0.7123,0.8132
2017-06-06,UPE_U,nan,0.7977,0.7845
2017-06-08,EGP,nan,0.8228,0.5212
2017-06-08,KAN_L,0.620,0.5572,0.1417
2017-06-08,KAN_M,0.799,0.7277,0.2633
2017-06-08,KAN_U,0.819,0.8065,0.2624
2017-06-08,KPC_L,nan,0.7134,0.5746
2017-06-08,KPC_U,0.807,0.7909,0.2698
2017-06-08,NUK_K,nan,0.6469,0.7161
2017-06-08,NUK_L,nan,0.3676,0.6137
2017-06-08,QAS_L,nan,0.5076,0.3061
2017-06-08,QAS_M,nan,0.7158,0.1073
2017-06-08,QAS_U,nan,0.6803,0.2178
2017-06-08,SCO_L,nan,0.5224,0.9468
2017-06-08,SCO_U,nan,0.7992,0.9149
2017-06-08,TAS_A,0.582,0.7044,0.285
2017-06-08,THU_L,nan,0.8503,0.9019
2017-06-08,THU_U,0.838,0.8158,0.6753
2017-06-08,UPE_L,nan,0.6241,0.6147
2017-06-08,UPE_U,nan,0.7169,0.2001
2017-06-09,EGP,nan,0.8602,0.8511
2017-06-09,KAN_L,nan,0.5712,0.3604
2017-06-09,KAN_M,nan,0.7345,0.3142
2017-06-09,KAN_U,nan,0.8639,0.6372
2017-06-09,KPC_L,nan,0.6832,0.7751
2017-06-09,KPC_U,nan,0.7949,0.6958
2017-06-09,NUK_K,nan,0.6804,0.6577
2017-06-09,NUK_L,nan,0.3454,0.5726
2017-06-09,QAS_L,nan,0.5003,0.5763
2017-06-09,QAS_U,nan,0.6831,0.4188
2017-06-09,SCO_L,nan,0.771,0.9889
2017-06-09,SCO_U,nan,0.9102,0.9653
2017-06-09,TAS_A,nan,0.6945,0.1943
2017-06-09,THU_L,nan,0.8948,0.9911
2017-06-09,THU_U,nan,0.8359,0.8994
2017-06-09,UPE_L,nan,0.6163,0.8208
2017-06-09,UPE_U,nan,0.7361,0.2953
2017-06-10,EGP,nan,0.8421,0.5682
2017-06-10,KAN_L,0.584,0.5484,0.2491
2017-06-10,KAN_M,nan,0.7376,0.2188
2017-06-10,KAN_U,0.818,0.793,0.171
2017-06-10,KPC_L,nan,0.6651,0.8926
2017-06-10,KPC_U,0.766,0.7831,0.5786
2017-06-10,NUK_K,nan,0.7256,0.6759
2017-06-10,NUK_L,nan,0.3391,0.3491
2017-06-10,QAS_L,nan,0.494,0.7211
2017-06-10,QAS_U,nan,0.7589,0.7061
2017-06-10,SCO_L,nan,0.6631,0.9208
2017-06-10,SCO_U,nan,0.8582,0.9295
2017-06-10,TAS_A,0.709,0.6906,0.1695
2017-06-10,THU_L,nan,0.8611,0.7965
2017-06-10,THU_U,0.857,0.8453,0.5708
2017-06-10,UPE_L,nan,0.6245,0.3241
2017-06-10,UPE_U,0.767,0.7223,0.1112
2017-06-11,EGP,0.834,0.8154,0.1947
2017-06-11,KAN_L,nan,0.531,0.6702
2017-06-11,KAN_M,nan,0.7565,0.7918
2017-06-11,KAN_U,nan,0.8177,0.619
2017-06-11,KPC_L,nan,0.6476,0.9147
2017-06-11,KPC_U,nan,0.7732,0.7696
2017-06-11,NUK_K,nan,0.6954,0.8475
2017-06-11,NUK_L,nan,0.3029,0.5967
2017-06-11,QAS_L,nan,0.4487,0.4169
2017-06-11,QAS_U,nan,0.7012,0.363
2017-06-11,SCO_L,nan,0.4437,0.6374
2017-06-11,SCO_U,nan,0.7867,0.4713
2017-06-11,TAS_A,0.709,0.6843,0.1488
2017-06-11,THU_L,nan,0.8042,0.0747
2017-06-11,THU_U,nan,0.788,0.0633
2017-06-11,UPE_L,0.608,0.6112,0.3193
2017-06-11,UPE_U,0.764,0.7151,0.2317
2017-06-12,EGP,0.825,0.81,0.3704
2017-06-12,KAN_L,0.582,0.505,0.2033
2017-06-12,KAN_M,0.753,0.6988,0.1659
2017-06-12,KAN_U,0.792,0.7683,0.0729
2017-06-12,KPC_L,nan,0.6134,0.5194
2017-06-12,KPC_U,nan,0.7582,0.23
2017-06-12,NUK_K,nan,0.6195,0.1269
2017-06-12,NUK_L,0.393,0.3149,0.0283
2017-06-12,QAS_L,nan,0.4242,0.095
2017-06-12,QAS_U,0.686,0.6436,0.033
2017-06-12,SCO_L,nan,0.3679,0.1268
2017-06-12,SCO_U,nan,0.6968,0.0721
2017-06-12,TAS_A,0.701,0.6822,0.1553
2017-06-12,THU_L,nan,0.8832,0.753
2017-06-12,THU_U,nan,0.8547,0.781
2017-06-12,UPE_L,nan,0.6339,0.7655
2017-06-12,UPE_U,nan,0.8072,0.7186
2017-06-13,EGP,0.821,0.798,0.514
2017-06-13,KAN_L,0.520,0.5197,0.2065
2017-06-13,KAN_M,nan,0.7082,0.1405
2017-06-13,KAN_U,0.785,0.7591,0.0863
2017-06-13,KPC_L,0.542,0.6011,0.7164
2017-06-13,KPC_U,nan,0.8222,0.6964
2017-06-13,NUK_K,0.552,0.6231,0.0931
2017-06-13,NUK_L,0.402,0.3058,0.0173
2017-06-13,QAS_L,0.512,0.4294,0.1456
2017-06-13,QAS_U,0.767,0.642,0.0848
2017-06-13,SCO_L,0.496,0.3491,0.238
2017-06-13,SCO_U,0.736,0.637,0.1813
2017-06-13,TAS_A,0.750,0.6886,0.1876
2017-06-13,THU_L,nan,0.8226,0.6711
2017-06-13,THU_U,nan,0.8243,0.7313
2017-06-13,UPE_L,0.640,0.5873,0.4387
2017-06-13,UPE_U,nan,0.7126,0.2157
2017-06-14,EGP,0.859,0.7916,0.5491
2017-06-14,KAN_L,0.539,0.516,0.1096
2017-06-14,KAN_M,nan,0.6959,0.0927
2017-06-14,KAN_U,0.786,0.7593,0.0705
2017-06-14,KPC_L,nan,0.5413,0.5306
2017-06-14,KPC_U,0.762,0.7701,0.504
2017-06-14,NUK_K,0.466,0.6237,0.124
2017-06-14,NUK_L,0.395,0.3008,0.0322
2017-06-14,QAS_L,nan,0.4251,0.6687
2017-06-14,QAS_U,nan,0.7466,0.5756
2017-06-14,SCO_L,0.470,0.3483,0.2717
2017-06-14,SCO_U,0.585,0.6042,0.2406
2017-06-14,TAS_A,0.763,0.6983,0.3092
2017-06-14,THU_L,nan,0.8117,0.4212
2017-06-14,THU_U,nan,0.8328,0.2853
2017-06-14,UPE_L,nan,0.6497,0.7721
2017-06-14,UPE_U,nan,0.7059,0.1267
2017-06-15,EGP,0.827,0.8047,0.2056
2017-06-15,KAN_L,0.557,0.5088,0.0948
2017-06-15,KAN_M,nan,0.6922,0.0917
2017-06-15,KAN_U,0.781,0.7635,0.0531
2017-06-15,KPC_L,nan,0.5216,0.4392
2017-06-15,KPC_U,0.769,0.7538,0.29
2017-06-15,NUK_K,nan,0.6216,0.1404
2017-06-15,NUK_L,nan,0.2875,0.032
2017-06-15,QAS_L,nan,0.3819,0.6218
2017-06-15,QAS_U,nan,0.7341,0.5233
2017-06-15,SCO_L,nan,0.3531,0.2572
2017-06-15,SCO_U,nan,0.5771,0.1498
2017-06-15,TAS_A,0.708,0.6943,0.2363
2017-06-15,THU_L,0.836,0.8115,0.397
2017-06-15,THU_U,0.842,0.7913,0.3212
2017-06-15,UPE_L,nan,0.6458,0.9191
2017-06-15,UPE_U,nan,0.7225,0.2592
2017-06-16,EGP,0.830,0.7918,0.3365
2017-06-16,KAN_L,nan,0.5379,0.6701
2017-06-16,KAN_M,nan,0.7484,0.5565
2017-06-16,KAN_U,nan,0.7705,0.2574
2017-06-16,KPC_L,nan,0.7972,0.8215
2017-06-16,KPC_U,nan,0.8925,0.8149
2017-06-16,NUK_K,nan,0.6279,0.2143
2017-06-16,NUK_L,0.370,0.2945,0.2014
2017-06-16,QAS_L,nan,0.3648,0.2482
2017-06-16,QAS_U,0.731,0.6468,0.1682
2017-06-16,SCO_L,nan,0.361,0.3717
2017-06-16,SCO_U,nan,0.5571,0.2767
2017-06-16,TAS_A,nan,0.719,0.5926
2017-06-16,THU_L,nan,0.78,0.0813
2017-06-16,THU_U,nan,0.7855,0.0792
2017-06-16,UPE_L,0.634,0.6273,0.3324
2017-06-16,UPE_U,0.776,0.7296,0.0623
2017-06-17,EGP,0.816,0.8162,0.2277
2017-06-17,KAN_L,nan,0.6236,0.9594
2017-06-17,KAN_M,nan,0.8566,0.9359
2017-06-17,KAN_U,nan,0.8873,0.8758
2017-06-17,KPC_L,nan,0.7828,0.2344
2017-06-17,KPC_U,0.861,0.8289,0.2581
2017-06-17,NUK_K,nan,0.6582,0.6058
2017-06-17,NUK_L,nan,0.3449,0.9071
2017-06-17,QAS_L,nan,0.3928,0.4259
2017-06-17,QAS_U,nan,0.6497,0.1409
2017-06-17,SCO_L,nan,0.379,0.3692
2017-06-17,SCO_U,nan,0.5473,0.3765
2017-06-17,TAS_A,nan,0.7379,0.7843
2017-06-17,THU_L,0.655,0.7705,0.1009
2017-06-17,THU_U,0.678,0.7753,0.101
2017-06-17,UPE_L,nan,0.6769,0.9477
2017-06-17,UPE_U,nan,0.8074,0.7984
2017-06-18,EGP,nan,0.8081,0.6543
2017-06-18,KAN_L,nan,0.5585,0.5817
2017-06-18,KAN_M,nan,0.8183,0.6225
2017-06-18,KAN_U,nan,0.8537,0.5569
2017-06-18,KPC_L,0.807,0.751,0.1224
2017-06-18,KPC_U,0.843,0.8202,0.1838
2017-06-18,NUK_K,nan,0.7683,0.7676
2017-06-18,NUK_L,nan,0.3113,0.505
2017-06-18,QAS_L,nan,0.3975,0.5478
2017-06-18,QAS_U,0.709,0.7244,0.5484
2017-06-18,SCO_L,nan,0.3733,0.3525
2017-06-18,SCO_U,0.602,0.547,0.1751
2017-06-18,TAS_A,nan,0.7432,0.7888
2017-06-18,THU_L,nan,0.7581,0.3713
2017-06-18,THU_U,nan,0.7892,0.4185
2017-06-18,UPE_L,nan,0.6427,0.8427
2017-06-18,UPE_U,nan,0.7886,0.626
2017-06-19,EGP,nan,0.7925,0.6446
2017-06-19,KAN_L,nan,0.6307,0.8835
2017-06-19,KAN_M,nan,0.8361,0.7135
2017-06-19,KAN_U,nan,0.8551,0.6088
2017-06-19,KPC_L,nan,0.6741,0.1051
2017-06-19,KPC_U,0.834,0.8212,0.1303
2017-06-19,NUK_K,nan,0.7832,1.0
2017-06-19,NUK_L,nan,0.3409,0.9775
2017-06-19,QAS_L,nan,0.4096,0.9841
2017-06-19,QAS_U,nan,0.7746,0.9903
2017-06-19,SCO_L,nan,0.376,0.5848
2017-06-19,SCO_U,0.603,0.547,0.1994
2017-06-19,TAS_A,nan,0.7992,0.9474
2017-06-19,THU_L,nan,0.7306,0.0392
2017-06-19,THU_U,nan,0.7567,0.0619
2017-06-19,UPE_L,0.764,0.6194,0.2802
2017-06-19,UPE_U,nan,0.723,0.0627
2017-06-20,EGP,0.826,0.8196,0.257
2017-06-20,KAN_L,nan,0.5681,0.8069
2017-06-20,KAN_M,nan,0.7882,0.5381
2017-06-20,KAN_U,0.822,0.8247,0.1969
2017-06-20,KPC_L,nan,0.5963,0.2905
2017-06-20,KPC_U,0.825,0.809,0.2323
2017-06-20,NUK_K,nan,0.6903,0.7111
2017-06-20,NUK_L,nan,0.5808,0.755
2017-06-20,QAS_L,nan,0.3591,0.3413
2017-06-20,QAS_U,0.635,0.6276,0.0662
2017-06-20,SCO_L,nan,0.3848,0.4984
2017-06-20,SCO_U,nan,0.5347,0.2163
2017-06-20,TAS_A,nan,0.7983,0.8924
2017-06-20,THU_L,nan,0.7269,0.1365
2017-06-20,THU_U,nan,0.7439,0.1169
2017-06-20,UPE_L,nan,0.6744,0.9686
2017-06-20,UPE_U,nan,0.7137,0.0981
2017-06-21,EGP,0.820,0.8071,0.2996
2017-06-21,KAN_L,nan,0.5698,0.4607
2017-06-21,KAN_M,nan,0.7932,0.6175
2017-06-21,KAN_U,nan,0.8279,0.4388
2017-06-21,KPC_L,0.590,0.5237,0.2434
2017-06-21,KPC_U,nan,0.8091,0.3086
2017-06-21,NUK_K,nan,0.6253,0.0643
2017-06-21,NUK_L,0.433,0.3247,0.1368
2017-06-21,QAS_L,nan,0.3708,0.1281
2017-06-21,QAS_U,0.686,0.6342,0.0375
2017-06-21,SCO_L,nan,0.3776,0.423
2017-06-21,SCO_U,nan,0.5364,0.241
2017-06-21,TAS_A,nan,0.7003,0.75
2017-06-21,THU_L,0.766,0.7452,0.3732
2017-06-21,THU_U,nan,0.7383,0.049
2017-06-21,UPE_L,nan,0.6403,0.9425
2017-06-21,UPE_U,nan,0.7106,0.0949
2017-06-22,EGP,0.815,0.7977,0.228
2017-06-22,KAN_L,nan,0.5609,0.2601
2017-06-22,KAN_M,0.830,0.754,0.1799
2017-06-22,KAN_U,nan,0.8218,0.5152
2017-06-22,KPC_L,nan,0.4743,0.5507
2017-06-22,KPC_U,0.777,0.7933,0.461
2017-06-22,NUK_K,nan,0.6137,0.1078
2017-06-22,NUK_L,nan,0.3166,0.3305
2017-06-22,QAS_L,nan,0.3768,0.1904
2017-06-22,QAS_U,0.704,0.6397,0.1183
2017-06-22,SCO_L,nan,0.3816,0.4156
2017-06-22,SCO_U,0.591,0.5209,0.255
2017-06-22,TAS_A,nan,0.7373,0.7748
2017-06-22,THU_L,0.705,0.7137,0.0421
2017-06-22,THU_U,nan,0.7279,0.0251
2017-06-22,UPE_L,nan,0.6397,0.7777
2017-06-22,UPE_U,0.690,0.6973,0.0616
2017-06-23,EGP,0.810,0.7665,0.2672
2017-06-23,KAN_L,nan,0.5326,0.7487
2017-06-23,KAN_M,nan,0.7643,0.6903
2017-06-23,KAN_U,nan,0.8511,0.8111
2017-06-23,KPC_L,nan,0.5111,0.133
2017-06-23,KPC_U,0.790,0.7633,0.1303
2017-06-23,NUK_K,nan,0.6195,0.1804
2017-06-23,NUK_L,nan,0.2926,0.1042
2017-06-23,QAS_L,nan,0.3944,0.298
2017-06-23,QAS_U,0.679,0.6461,0.1259
2017-06-23,SCO_L,nan,0.3723,0.2486
2017-06-23,SCO_U,nan,0.5062,0.1268
2017-06-23,TAS_A,0.651,0.6807,0.3533
2017-06-23,THU_L,0.705,0.7391,0.1176
2017-06-23,THU_U,nan,0.7343,0.094
2017-06-23,UPE_L,nan,0.6456,0.6748
2017-06-23,UPE_U,nan,0.7284,0.3915
2017-06-24,EGP,0.806,0.7869,0.349
2017-06-24,KAN_L,0.492,0.4957,0.368
2017-06-24,KAN_M,nan,0.7282,0.3828
2017-06-24,KAN_U,0.816,0.8133,0.3597
2017-06-24,KPC_L,nan,0.5009,0.1173
2017-06-24,KPC_U,0.807,0.7737,0.0859
2017-06-24,NUK_K,nan,0.6202,0.1893
2017-06-24,NUK_L,nan,0.272,0.0585
2017-06-24,QAS_L,nan,0.4017,0.3588
2017-06-24,QAS_U,0.663,0.647,0.1995
2017-06-24,SCO_L,nan,0.3666,0.2469
2017-06-24,SCO_U,nan,0.4929,0.1096
2017-06-24,TAS_A,0.619,0.6775,0.1952
2017-06-24,THU_L,nan,0.8191,0.7298
2017-06-24,THU_U,nan,0.8446,0.8177
2017-06-24,UPE_L,nan,0.6673,0.8109
2017-06-24,UPE_U,nan,0.7687,0.7289
2017-06-25,EGP,0.800,0.7929,0.3435
2017-06-25,KAN_L,0.448,0.4445,0.221
2017-06-25,KAN_M,0.659,0.6854,0.2049
2017-06-25,KAN_U,0.815,0.7882,0.1028
2017-06-25,KPC_L,nan,0.4664,0.1586
2017-06-25,KPC_U,0.801,0.7631,0.112
2017-06-25,NUK_K,nan,0.6307,0.3204
2017-06-25,NUK_L,nan,0.2552,0.0826
2017-06-25,QAS_L,nan,0.4055,0.9063
2017-06-25,QAS_U,nan,0.7729,0.536
2017-06-25,SCO_L,nan,0.3483,0.2253
2017-06-25,SCO_U,nan,0.4784,0.1299
2017-06-25,TAS_A,0.610,0.6655,0.1473
2017-06-25,THU_L,nan,0.8171,0.8122
2017-06-25,THU_U,nan,0.8508,0.827
2017-06-25,UPE_L,nan,0.6109,0.8699
2017-06-25,UPE_U,nan,0.7951,0.8014
2017-06-26,EGP,0.843,0.7974,0.4502
2017-06-26,KAN_L,0.472,0.4331,0.1016
2017-06-26,KAN_M,0.645,0.6844,0.1228
2017-06-26,KAN_U,0.798,0.7606,0.0628
2017-06-26,KPC_L,nan,0.4711,0.3251
2017-06-26,KPC_U,0.786,0.7561,0.2983
2017-06-26,NUK_K,nan,0.6791,0.8037
2017-06-26,NUK_L,nan,0.2556,0.6654
2017-06-26,QAS_L,nan,0.3579,0.8965
2017-06-26,QAS_U,nan,0.7934,0.9226
2017-06-26,SCO_L,nan,0.3477,0.3886
2017-06-26,SCO_U,nan,0.4692,0.2553
2017-06-26,TAS_A,0.650,0.669,0.1779
2017-06-26,THU_L,nan,0.7979,0.71
2017-06-26,THU_U,nan,0.8037,0.6803
2017-06-26,UPE_L,nan,0.634,0.873
2017-06-26,UPE_U,nan,0.7084,0.1028
2017-06-27,EGP,nan,0.8361,0.6746
2017-06-27,KAN_L,0.499,0.4541,0.2028
2017-06-27,KAN_M,0.690,0.6864,0.1378
2017-06-27,KAN_U,0.773,0.7491,0.0651
2017-06-27,KPC_L,0.478,0.4982,0.3982
2017-06-27,KPC_U,nan,0.8095,0.3588
2017-06-27,NUK_K,nan,0.7316,0.9679
2017-06-27,NUK_L,nan,0.2975,0.792
2017-06-27,QAS_L,nan,0.345,0.8561
2017-06-27,QAS_U,nan,0.7293,0.6626
2017-06-27,SCO_L,nan,0.3423,0.1794
2017-06-27,SCO_U,0.520,0.4447,0.0797
2017-06-27,TAS_A,0.644,0.6749,0.1825
2017-06-27,THU_L,nan,0.7118,0.2215
2017-06-27,THU_U,nan,0.7415,0.2452
2017-06-27,UPE_L,nan,0.6154,0.753
2017-06-27,UPE_U,nan,0.671,0.0162
2017-06-28,EGP,0.843,0.8203,0.4795
2017-06-28,KAN_L,0.490,0.489,0.3909
2017-06-28,KAN_M,nan,0.6973,0.588
2017-06-28,KAN_U,nan,0.8093,0.5669
2017-06-28,KPC_L,nan,0.5397,0.0958
2017-06-28,KPC_U,0.849,0.7947,0.1148
2017-06-28,NUK_K,nan,0.6576,0.9053
2017-06-28,NUK_L,nan,0.295,0.9752
2017-06-28,QAS_L,nan,0.3453,0.4578
2017-06-28,QAS_U,nan,0.6588,0.2178
2017-06-28,SCO_L,nan,0.3428,0.2356
2017-06-28,SCO_U,0.548,0.4507,0.1441
2017-06-28,TAS_A,0.697,0.6751,0.2104
2017-06-28,THU_L,nan,0.7955,0.871
2017-06-28,THU_U,nan,0.8294,0.9605
2017-06-28,UPE_L,nan,0.6678,0.6392
2017-06-28,UPE_U,nan,0.718,0.4731
2017-06-29,EGP,nan,0.8258,0.4476
2017-06-29,KAN_L,nan,0.495,0.4709
2017-06-29,KAN_M,0.587,0.7041,0.5517
2017-06-29,KAN_U,nan,0.8099,0.9287
2017-06-29,KPC_L,nan,0.671,0.6205
2017-06-29,KPC_U,nan,0.8311,0.6368
2017-06-29,NUK_K,nan,0.6128,0.3068
2017-06-29,NUK_L,nan,0.271,0.4127
2017-06-29,QAS_L,nan,0.3706,0.7916
2017-06-29,QAS_U,nan,0.7646,0.7272
2017-06-29,SCO_L,nan,0.3578,0.4063
2017-06-29,SCO_U,nan,0.4593,0.2921
2017-06-29,TAS_A,0.678,0.6753,0.2168
2017-06-29,THU_L,0.796,0.7384,0.1232
2017-06-29,THU_U,nan,0.7558,0.2366
2017-06-29,UPE_L,nan,0.6854,0.9981
2017-06-29,UPE_U,nan,0.879,0.8611
2017-06-30,EGP,nan,0.825,0.508
2017-06-30,KAN_L,0.533,0.4991,0.8229
2017-06-30,KAN_M,nan,0.7765,0.7954
2017-06-30,KAN_U,nan,0.8597,0.9579
2017-06-30,KPC_L,nan,0.7509,0.7479
2017-06-30,KPC_U,nan,0.8627,0.8019
2017-06-30,NUK_K,nan,0.6109,0.2564
2017-06-30,NUK_L,nan,0.2924,0.3197
2017-06-30,QAS_L,nan,0.3583,0.6003
2017-06-30,QAS_U,0.701,0.6594,0.2293
2017-06-30,SCO_L,nan,0.6666,0.8652
2017-06-30,SCO_U,nan,0.7688,0.8573
2017-06-30,TAS_A,0.652,0.6919,0.3695
2017-06-30,THU_L,0.741,0.7205,0.0792
2017-06-30,THU_U,nan,0.7488,0.0406
2017-06-30,UPE_L,nan,0.7163,0.7722
2017-06-30,UPE_U,nan,0.8641,0.7286
2017-07-01,EGP,0.835,0.7907,0.2433
2017-07-01,KAN_L,nan,0.8901,0.9341
2017-07-01,KAN_M,nan,0.8641,0.9526
2017-07-01,KAN_U,nan,0.8932,0.9831
2017-07-01,KPC_L,nan,0.7361,0.1787
2017-07-01,KPC_U,0.847,0.8166,0.2795
2017-07-01,NUK_K,nan,0.7595,0.7333
2017-07-01,NUK_L,nan,0.321,0.6605
2017-07-01,QAS_L,nan,0.3702,0.2743
2017-07-01,QAS_M,0.640,0.7449,0.3335
2017-07-01,QAS_U,0.695,0.649,0.2211
2017-07-01,SCO_L,nan,0.6583,0.8209
2017-07-01,SCO_U,nan,0.7833,0.872
2017-07-01,TAS_A,0.661,0.7283,0.7337
2017-07-01,THU_L,0.692,0.6905,0.0221
2017-07-01,THU_U,0.810,0.7409,0.0149
2017-07-01,UPE_L,nan,0.6612,0.4983
2017-07-01,UPE_U,nan,0.8081,0.5356
2017-07-02,EGP,0.825,0.7811,0.2101
2017-07-02,KAN_L,nan,0.895,0.8771
2017-07-02,KAN_M,nan,0.8533,0.8258
2017-07-02,KAN_U,nan,0.8874,0.8464
2017-07-02,KPC_L,nan,0.7106,0.1428
2017-07-02,KPC_U,0.839,0.8101,0.1931
2017-07-02,NUK_K,nan,0.6462,0.7818
2017-07-02,NUK_L,nan,0.3315,0.8873
2017-07-02,QAS_L,nan,0.3509,0.391
2017-07-02,QAS_U,nan,0.66,0.3693
2017-07-02,SCO_L,nan,0.4271,0.8588
2017-07-02,SCO_U,nan,0.6272,0.7895
2017-07-02,TAS_A,nan,0.8053,0.7453
2017-07-02,THU_L,nan,0.6875,0.0245
2017-07-02,THU_U,nan,0.7448,0.0204
2017-07-02,UPE_L,nan,0.6334,0.2125
2017-07-02,UPE_U,nan,0.7727,0.1141
